Open,High,Low,Close,Volume,Dividends,Stock Splits
0.0,7.3236023130871,7.153285980224609,7.153285980224609,562400,0.0,0.0
0.0,7.664236942483059,7.621657848358153,7.621657848358154,2387733,0.0,0.0
0.0,8.090028207768839,8.047449111938477,8.047449111938477,1234400,0.0,0.0
0.0,8.090028207768839,8.047449111938477,8.047449111938477,626133,0.0,0.0
0.0,8.51581611824994,8.473237037658691,8.473237037658691,593333,0.0,0.0
0.0,8.388078115424332,8.345499038696289,8.345499038696289,595467,0.0,0.0
0.0,8.302916294552501,8.217758178710938,8.217758178710938,506667,0.0,0.0
0.0,8.004869379461768,7.962290287017822,7.962290287017822,317333,0.0,0.0
0.0,7.96228684917573,7.919707775115967,7.919707775115967,346933,0.0,0.0
0.0,8.047443760202286,8.004864692687988,8.004864692687988,202400,0.0,0.0
0.0,8.090028207768839,8.047449111938477,8.047449111938477,139467,0.0,0.0
0.0,8.175184069181743,8.090025901794434,8.090025901794434,315467,0.0,0.0
0.0,8.132604985488088,8.090025901794434,8.090025901794434,216000,0.0,0.0
0.0,8.090028207768839,8.047449111938477,8.047449111938477,151467,0.0,0.0
0.0,8.132604985488088,8.090025901794434,8.090025901794434,108800,0.0,0.0
0.0,8.132604985488088,8.090025901794434,8.090025901794434,159733,0.0,0.0
0.0,8.132604985488088,8.090025901794434,8.090025901794434,260533,0.0,0.0
0.0,7.96228684917573,7.919707775115967,7.919707775115967,164000,0.0,0.0
0.0,8.004869379461768,7.962290287017822,7.962290287017822,131467,0.0,0.0
0.0,7.877130808074618,7.791972637176514,7.791972637176514,152267,0.0,0.0
0.0,7.9197081540081955,7.877129077911377,7.877129077911377,112800,0.0,0.0
0.0,7.962287230105014,7.877129077911377,7.877129077911377,100800,0.0,0.0
0.0,7.919707572978476,7.834549427032471,7.834549427032471,127467,0.0,0.0
0.0,7.9197081540081955,7.877129077911377,7.877129077911377,169067,0.0,0.0
0.0,7.96228684917573,7.919707775115967,7.919707775115967,250133,0.0,0.0
0.0,7.877128500005473,7.834549427032471,7.834549427032471,104533,0.0,0.0
0.0,7.536499898542058,7.493920803070068,7.493920803070068,160533,0.0,0.0
0.0,7.493920161806304,7.408761978149414,7.408761978149414,169333,0.0,0.0
0.0,7.366181761719459,7.323602676391602,7.323602676391602,80000,0.0,0.0
0.0,7.366179742311177,7.281021595001221,7.281021595001221,114667,0.0,0.0
0.0,7.493920161806304,7.408761978149414,7.408761978149414,92533,0.0,0.0
0.0,7.877129263930269,7.749392032623291,7.749392032623291,217333,0.0,0.0
0.0,8.004869379461768,7.962290287017822,7.962290287017822,112800,0.0,0.0
0.0,8.004865718924481,7.834549427032471,7.834549427032471,112267,0.0,0.0
0.0,7.919707572978476,7.834549427032471,7.834549427032471,35200,0.0,0.0
0.0,7.749391455676674,7.706812381744385,7.706812381744385,138400,0.0,0.0
0.0,7.664236942483059,7.621657848358153,7.621657848358154,52000,0.0,0.0
0.0,7.6642310753297265,7.579072952270507,7.579072952270508,45333,0.0,0.0
0.0,7.366181761719459,7.323602676391602,7.323602676391602,44533,0.0,0.0
0.0,7.3661796401528745,7.238442420959473,7.238442420959473,105333,0.0,0.0
0.0,7.323600567088407,7.238442420959473,7.238442420959473,70933,0.0,0.0
0.0,7.238444146655855,7.153285980224609,7.153285980224609,158667,0.0,0.0
0.0,7.323600567088407,7.238442420959473,7.238442420959473,49333,0.0,0.0
0.0,7.493920161806304,7.408761978149414,7.408761978149414,80000,0.0,0.0
0.0,7.877129263930269,7.749392032623291,7.749392032623291,87200,0.0,0.0
0.0,7.834550186827943,7.749392032623291,7.749392032623291,37867,0.0,0.0
0.0,7.749391455676674,7.706812381744385,7.706812381744385,40000,0.0,0.0
0.0,7.749391455676674,7.706812381744385,7.706812381744385,61067,0.0,0.0
0.0,7.706816036607965,7.621657848358153,7.621657848358154,28000,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,19733,0.0,0.0
0.0,7.366181761719459,7.323602676391602,7.323602676391602,48800,0.0,0.0
0.0,7.366181761719459,7.323602676391602,7.323602676391602,34133,0.0,0.0
0.0,7.408760847047318,7.323602676391602,7.323602676391602,68000,0.0,0.0
0.0,7.408759017900236,7.366179943084717,7.366179943084717,45067,0.0,0.0
0.0,7.493920161806304,7.408761978149414,7.408761978149414,50133,0.0,0.0
0.0,7.536498372214181,7.451340198516846,7.451340198516846,26400,0.0,0.0
0.0,7.621653346692102,7.536495208740234,7.536495208740234,65600,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,49600,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,68533,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,39467,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,55200,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,197067,0.0,0.0
0.0,7.6216580894860355,7.493920803070068,7.493920803070068,139467,0.0,0.0
0.0,7.664232415668035,7.536495208740234,7.536495208740234,79467,0.0,0.0
0.0,7.749391836590237,7.664233684539795,7.664233684539795,76000,0.0,0.0
0.0,7.664236942483059,7.621657848358153,7.621657848358154,56800,0.0,0.0
0.0,7.621653346692102,7.536495208740234,7.536495208740234,84000,0.0,0.0
0.0,7.579078994014046,7.493920803070068,7.493920803070068,44533,0.0,0.0
0.0,7.536498372214181,7.451340198516846,7.451340198516846,49600,0.0,0.0
0.0,7.451341069977859,7.408761978149414,7.408761978149414,77067,0.0,0.0
