Open,High,Low,Close,Volume,Dividends,Stock Splits
0.0,0.0940789134603759,0.09338544309139252,0.09338544309139252,902400,0.0,0.0
0.0,0.0947723463177681,0.09338540612876245,0.0947723463177681,1200000,0.0,0.0
0.0,0.09546576146074323,0.0945411534649162,0.09500348567962646,1088000,0.0,0.0
0.0,0.09546577195886972,0.09269194766635827,0.09292314201593399,1222400,0.0,0.0
0.0,0.09361657367558236,0.0915362191665631,0.09269196540117264,1388800,0.0,0.0
0.0,0.09338545687496663,0.09222971037848425,0.09246084839105606,1065600,0.0,0.0
0.0,0.0924607782867575,0.09176730834121169,0.09199850261211395,828800,0.0,0.0
0.0,0.09292314201593399,0.09222967183440621,0.09292314201593399,617600,0.0,0.0
0.0,0.09431005269289017,0.09315430635162632,0.09431005269289017,1398400,0.0,0.0
0.0,0.09431005269289017,0.09338544433315595,0.09431005269289017,966400,0.0,0.0
0.0,0.09431006784402433,0.09361659735441208,0.09361659735441208,569600,0.0,0.0
0.0,0.09431004249524783,0.09246082597573316,0.09315429627895355,832000,0.0,0.0
0.0,0.09361658106984866,0.09269197272240913,0.09338544309139252,844800,0.0,0.0
0.0,0.09407889097929001,0.09338542077601822,0.09407889097929001,720000,0.0,0.0
0.0,0.09431005269289017,0.09384777672983091,0.09431005269289017,745600,0.0,0.0
0.0,0.09407892982536184,0.09338545933574958,0.09361659735441208,908800,0.0,0.0
0.0,0.09384779180669935,0.0929231832984246,0.09361659735441208,841600,0.0,0.0
0.0,0.09431007238047637,0.09361660185750717,0.09384779632091522,1078400,0.0,0.0
0.0,0.09431005269289017,0.09361658231468557,0.09431005269289017,832000,0.0,0.0
0.0,0.09592812368445293,0.09431004507717701,0.09569698572158813,1462400,0.0,0.0
0.0,0.09662160277366638,0.09592813238853845,0.09662160277366638,1843200,0.0,0.0
0.0,0.0980084240436554,0.09685267843455445,0.0980084240436554,1718400,0.0,0.0
0.0,0.09985768049955368,0.0980084641940064,0.09985768049955368,2371200,0.0,0.0
0.0,0.10193795710802078,0.09962646670311351,0.10193795710802078,2310400,0.0,0.0
0.0,0.1035560664221694,0.10216918303508987,0.10286259651184082,1977600,0.0,0.0
0.0,0.10263146876275621,0.10124458523951055,0.10147572308778763,1446400,0.0,0.0
0.0,0.10236380994319916,0.10072784483431615,0.10236380994319916,1126400,0.01875,0.0
0.0,0.10283119594148724,0.10213005988661775,0.10236380994319916,684800,0.0,0.0
0.0,0.10166283132184957,0.10119538754224777,0.10119538754224777,563200,0.0,0.0
0.0,0.10166280555738627,0.10096166859443598,0.10142911225557327,428800,0.0,0.0
0.0,0.1014290448100017,0.09932563531981976,0.10072790831327438,873600,0.0,0.0
0.0,0.10189641267061234,0.10002675372252771,0.10189641267061234,636800,0.0,0.0
0.0,0.10236384281209253,0.10142901345790654,0.10213009268045425,742400,0.0,0.0
0.0,0.10283119594148724,0.10189636688747371,0.10236380994319916,816000,0.0,0.0
0.0,0.10446721447253406,0.10236386228975639,0.10399977117776871,1657600,0.0,0.0
0.0,0.10470085399880578,0.10353233194621417,0.10446716099977493,800000,0.0,0.0
0.0,0.10446721034960237,0.10283124446868896,0.10283124446868896,681600,0.0,0.0
0.0,0.1030648797750473,0.10213005080416834,0.1030648797750473,793600,0.0,0.0
0.0,0.10329863899721269,0.10236380994319916,0.10236380994319916,640000,0.0,0.0
0.0,0.10399981077109618,0.10236390126028368,0.10329873114824295,908800,0.0,0.0
0.0,0.10516835481290851,0.10329869567896764,0.10353238880634308,2131200,0.0,0.0
0.0,0.10446720388722547,0.10306493120248353,0.1042335107922554,899200,0.0,0.0
0.0,0.10446725424381996,0.10329873114824295,0.10329873114824295,838400,0.0,0.0
0.0,0.10329868774500606,0.10283124446868896,0.10283124446868896,1011200,0.0,0.0
0.0,0.10283125013055995,0.10236386388597295,0.10259755700826645,550400,0.0,0.0
0.0,0.10283122896045767,0.10166270653208911,0.10213009268045425,985600,0.0,0.0
0.0,0.10119525531642391,0.09979303992486147,0.10049417614936829,1190400,0.0,0.0
0.0,0.10142913796081154,0.1007280008201717,0.10119538754224777,825600,0.0,0.0
0.0,0.1007278692050535,0.09979303992486147,0.10049417614936829,611200,0.0,0.0
0.0,0.10096160145969238,0.10026046496296506,0.10072790831327438,656000,0.0,0.0
0.0,0.10142911225557327,0.10049428199080997,0.10142911225557327,681600,0.0,0.0
0.0,0.10329862981084127,0.10142897186908334,0.1030648797750473,1107200,0.0,0.0
0.0,0.10283125013055995,0.1018964205839185,0.10259755700826645,624000,0.0,0.0
0.0,0.10306493757811536,0.10189641497351906,0.10283124446868896,809600,0.0,0.0
0.0,0.10283125538946493,0.1011952893348104,0.10166273266077042,822400,0.0,0.0
0.0,0.10189649885919928,0.10119536189624899,0.10142911225557327,764800,0.0,0.0
0.0,0.10166283132184957,0.10096169418120975,0.10119538754224777,633600,0.0,0.0
0.0,0.10142911225557327,0.10096166859443598,0.10142911225557327,768000,0.0,0.0
0.0,0.10166280555738627,0.10119536189624899,0.10142911225557327,678400,0.0,0.0
0.0,0.10189649885919928,0.10096166859443598,0.10142911225557327,694400,0.0,0.0
0.0,0.1025975029423432,0.10142898088918564,0.10236380994319916,688000,0.0,0.0
0.0,0.10283119594148724,0.10236380994319916,0.10236380994319916,604800,0.0,0.0
0.0,0.10236384281209253,0.10189639960627168,0.10213009268045425,809600,0.0,0.0
0.0,0.1025975358862751,0.10189639960627168,0.10213009268045425,716800,0.0,0.0
0.0,0.10213012424925567,0.10002677181654708,0.10072790831327438,931200,0.0,0.0
