Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1983-11-21 00:00:00-05:00,1.131466861816733,1.1334694574309572,1.0513629692917552,1.12545907497406,5020667,0.0,0.0,VZ
1983-11-22 00:00:00-05:00,1.125459978127339,1.1414806879413402,1.1194521185075017,1.1214547157287598,2666896,0.0,0.0,VZ
1983-11-23 00:00:00-05:00,1.1214538778735073,1.125459137279696,1.1094383714789895,1.1154460906982422,1151978,0.0,0.0,VZ
1983-11-25 00:00:00-05:00,1.115445774133183,1.117448369289932,1.1034302711486816,1.1034302711486816,1772000,0.0,0.0,VZ
1983-11-28 00:00:00-05:00,1.0974229486658702,1.0974229486658702,1.0693866029071388,1.0733917951583862,2368004,0.0,0.0,VZ
1983-11-29 00:00:00-05:00,1.0713890056832154,1.0713890056832154,1.0593734990538926,1.0613760948181152,1630560,0.0,0.0,VZ
1983-11-30 00:00:00-05:00,1.0613760948181152,1.0693864099189927,1.05737090328967,1.0613760948181152,2423157,0.0,0.0,VZ
1983-12-01 00:00:00-05:00,1.0613760948181152,1.0693864099189927,1.055368307525447,1.0613760948181152,6249147,0.0,0.0,VZ
1983-12-02 00:00:00-05:00,1.0613765714636636,1.0733920834889414,1.0533661168534048,1.05937397480011,1763994,0.0,0.0,VZ
1983-12-05 00:00:00-05:00,1.0593735600653251,1.061376155944881,1.0473579168319702,1.0473579168319702,1084372,0.0,0.0,VZ
1983-12-06 00:00:00-05:00,1.04735815628607,1.055368609591716,1.04735815628607,1.0513633489608765,2176749,0.0,0.0,VZ
1983-12-07 00:00:00-05:00,1.051363048040988,1.0693864099189927,1.051363048040988,1.0613760948181152,4856099,0.0,0.0,VZ
1983-12-08 00:00:00-05:00,1.061376469532702,1.067384190990358,1.0593738730614708,1.063378930091858,7360205,0.0,0.0,VZ
1983-12-09 00:00:00-05:00,1.0633790494602806,1.0713895042004475,1.0633790494602806,1.065381646156311,5222597,0.0,0.0,VZ
1983-12-12 00:00:00-05:00,1.0653808645728533,1.0713887182095152,1.0633782693459644,1.0673835277557373,2835022,0.0,0.0,VZ
1983-12-13 00:00:00-05:00,1.0693866570977353,1.087410091097702,1.0693866570977353,1.0834048986434937,6693036,0.0,0.0,VZ
1983-12-14 00:00:00-05:00,1.0834050186651991,1.0914153365049848,1.0834050186651991,1.0874102115631104,2521008,0.0,0.0,VZ
1983-12-15 00:00:00-05:00,1.087409969738302,1.087409969738302,1.079399585723877,1.079399585723877,2323526,0.0,0.0,VZ
1983-12-16 00:00:00-05:00,1.07939899551711,1.0894118341481571,1.07939899551711,1.08540678024292,2452512,0.0,0.0,VZ
1983-12-19 00:00:00-05:00,1.0854077335418229,1.0854077335418229,1.0814025402069092,1.0814025402069092,1610990,0.0,0.0,VZ
1983-12-20 00:00:00-05:00,1.0814020085999811,1.085407199965981,1.0733915579119708,1.0753941535949707,1937458,0.0,0.0,VZ
1983-12-21 00:00:00-05:00,1.0753945096957374,1.07939977034403,1.065381460009056,1.0693867206573486,1935679,0.0,0.0,VZ
1983-12-22 00:00:00-05:00,1.0673841725441946,1.0673841725441946,1.0553686618804932,1.0553686618804932,4871221,0.0,0.0,VZ
1983-12-23 00:00:00-05:00,1.0553692085299566,1.0573718060038648,1.0473587506782525,1.0493613481521606,2338649,0.0,0.0,VZ
1983-12-27 00:00:00-05:00,1.0473579148732652,1.0473579148732652,1.0413500592898146,1.043352723121643,3004928,0.0,0.0,VZ
1983-12-28 00:00:00-05:00,1.043352963611263,1.0533659452982798,1.043352963611263,1.0513633489608765,4580336,0.0,0.0,VZ
1983-12-29 00:00:00-05:00,1.0513639456260688,1.0553692085299566,1.0493613481521606,1.0493613481521606,2998701,0.0,0.0,VZ
1983-12-30 00:00:00-05:00,1.0493606313982111,1.0513632275042686,1.0433528430800387,1.0453554391860962,1745313,0.0,0.0,VZ
1984-01-03 00:00:00-05:00,1.0513630053989722,1.0773968172339814,1.0513630053989722,1.0753941535949707,1973930,0.0,0.0,VZ
1984-01-04 00:00:00-05:00,1.0814016113345162,1.1274612951229523,1.0814016113345162,1.1074353456497192,3632956,0.0,0.0,VZ
1984-01-05 00:00:00-05:00,1.115446329817598,1.1394774836702406,1.115446329817598,1.1174489259719849,3759273,0.0,0.0,VZ
1984-01-06 00:00:00-05:00,1.1134435071413586,1.1454850390929356,1.1134435071413586,1.1374746561050415,4508281,0.0,0.0,VZ
1984-01-09 00:00:00-05:00,1.137474889644416,1.137474889644416,1.1234567165374756,1.1234567165374756,1791570,0.0,0.0,VZ
1984-01-10 00:00:00-05:00,1.123457244140984,1.1274625062942505,1.1194520499437763,1.1274625062942505,1571849,0.0,0.0,VZ
1984-01-11 00:00:00-05:00,1.127461792063688,1.133469579553654,1.127461792063688,1.1294643878936768,1258725,0.0,0.0,VZ
1984-01-12 00:00:00-05:00,1.1294643410731602,1.1374746561050415,1.1274617453261866,1.1374746561050415,1421514,0.0,0.0,VZ
1984-01-13 00:00:00-05:00,1.1434827537287635,1.1575009948855624,1.1434827537287635,1.145485281944275,3148147,0.0,0.0,VZ
1984-01-16 00:00:00-05:00,1.1534953811083442,1.1775265263869343,1.1534953811083442,1.155497908592224,2448954,0.0,0.0,VZ
1984-01-17 00:00:00-05:00,1.159502936928005,1.1695158447677636,1.159502936928005,1.165510654449463,2151841,0.0,0.0,VZ
1984-01-18 00:00:00-05:00,1.1655107766309116,1.1695159673690796,1.1595030584796595,1.1695159673690796,2929315,0.0,0.0,VZ
1984-01-19 00:00:00-05:00,1.1695159673690796,1.175523821432332,1.1635081133058274,1.1695159673690796,1812920,0.0,0.0,VZ
1984-01-20 00:00:00-05:00,1.169515601488889,1.1775261163711548,1.169515601488889,1.1775261163711548,2088683,0.0,0.0,VZ
1984-01-23 00:00:00-05:00,1.17752701704975,1.17752701704975,1.171519160270691,1.171519160270691,1159984,0.0,0.0,VZ
1984-01-24 00:00:00-05:00,1.1715186306941638,1.1735211581072478,1.1695159673690796,1.1695159673690796,1173327,0.0,0.0,VZ
1984-01-25 00:00:00-05:00,1.169516496040317,1.17752701704975,1.169516496040317,1.171519160270691,1711510,0.0,0.0,VZ
1984-01-26 00:00:00-05:00,1.171518507882907,1.1755236982012076,1.165510654449463,1.165510654449463,2941769,0.0,0.0,VZ
1984-01-27 00:00:00-05:00,1.1655110041360133,1.1975525362957924,1.1655110041360133,1.1815319061279297,3006707,0.0,0.0,VZ
1984-01-30 00:00:00-05:00,1.1815313058563088,1.185536359429505,1.1715182641874449,1.1775261163711548,2378679,0.0,0.0,VZ
1984-01-31 00:00:00-05:00,1.177526190287772,1.1835339069366455,1.1755235274635034,1.1835339069366455,1618996,0.0,0.0,VZ
1984-02-01 00:00:00-05:00,1.1835344027723391,1.1935473133526413,1.175524019943288,1.1875394582748413,1755988,0.0,0.0,VZ
1984-02-02 00:00:00-05:00,1.187539514791092,1.2015578892771153,1.1815319312514314,1.1975525617599487,3181060,0.0,0.0,VZ
1984-02-03 00:00:00-05:00,1.197552604178267,1.2035604597547902,1.179529309272766,1.179529309272766,2632203,0.0,0.0,VZ
1984-02-06 00:00:00-05:00,1.1775268465882025,1.1775268465882025,1.1675137987099695,1.1735215187072754,1496237,0.0,0.0,VZ
1984-02-07 00:00:00-05:00,1.171519160270691,1.171519160270691,1.1575010543063222,1.171519160270691,2166074,0.0,0.0,VZ
1984-02-08 00:00:00-05:00,1.167513708663461,1.167513708663461,1.1294643878936768,1.1294643878936768,3898044,0.0,0.0,VZ
1984-02-09 00:00:00-05:00,1.1294646269136366,1.141480136480303,1.1294646269136366,1.1314672231674194,2035309,0.0,0.0,VZ
1984-02-10 00:00:00-05:00,1.1274616705882845,1.1274616705882845,1.1154460289469306,1.12545907497406,1963255,0.0,0.0,VZ
1984-02-13 00:00:00-05:00,1.1254593806516369,1.1294645729679056,1.115446331904938,1.1234567165374756,2589504,0.0,0.0,VZ
1984-02-14 00:00:00-05:00,1.1234564858762264,1.1414798475989885,1.1234564858762264,1.1374746561050415,2308404,0.0,0.0,VZ
1984-02-15 00:00:00-05:00,1.13747489725812,1.145485281944275,1.1274619843564535,1.145485281944275,3431916,0.0,0.0,VZ
1984-02-16 00:00:00-05:00,1.1534962815224494,1.1615065336227417,1.1534962815224494,1.1615065336227417,2198098,0.0,0.0,VZ
1984-02-17 00:00:00-05:00,1.1615065336227417,1.1735221156413471,1.1554988105694948,1.1615065336227417,2092241,0.0,0.0,VZ
