Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1973-02-21 00:00:00-05:00,3.224719762802124,3.224719762802124,3.224719762802124,3.224719762802124,27000,0.0,0.0,SNA
1973-02-22 00:00:00-05:00,3.194861173629761,3.194861173629761,3.194861173629761,3.1948611736297607,36000,0.0,0.0,SNA
1973-02-23 00:00:00-05:00,3.015710353851318,3.015710353851318,3.015710353851318,3.0157103538513184,64800,0.0,0.0,SNA
1973-02-26 00:00:00-05:00,3.0007803440093994,3.0007803440093994,3.0007803440093994,3.0007803440093994,42600,0.0,0.0,SNA
1973-02-27 00:00:00-05:00,2.926135778427124,2.926135778427124,2.926135778427124,2.926135778427124,70200,0.0,0.0,SNA
1973-02-28 00:00:00-05:00,3.06049919128418,3.06049919128418,3.06049919128418,3.06049919128418,115800,0.0,0.0,SNA
1973-03-01 00:00:00-05:00,3.0903565883636475,3.0903565883636475,3.0903565883636475,3.0903565883636475,96600,0.0,0.0,SNA
1973-03-02 00:00:00-05:00,3.1799323558807373,3.1799323558807373,3.1799323558807373,3.1799323558807373,81000,0.0,0.0,SNA
1973-03-05 00:00:00-05:00,3.1500744819641118,3.1500744819641118,3.1500744819641118,3.1500744819641118,163800,0.0,0.0,SNA
1973-03-06 00:00:00-05:00,3.12021279335022,3.12021279335022,3.12021279335022,3.12021279335022,278400,0.0,0.0,SNA
1973-03-07 00:00:00-05:00,3.1799323558807373,3.1799323558807373,3.1799323558807373,3.1799323558807373,177000,0.0,0.0,SNA
1973-03-08 00:00:00-05:00,3.194861173629761,3.194861173629761,3.194861173629761,3.1948611736297607,85200,0.0,0.0,SNA
1973-03-09 00:00:00-05:00,3.1799323558807373,3.1799323558807373,3.1799323558807373,3.1799323558807373,145800,0.0,0.0,SNA
1973-03-12 00:00:00-05:00,3.165000915527344,3.165000915527344,3.165000915527344,3.165000915527344,39000,0.0,0.0,SNA
1973-03-13 00:00:00-05:00,3.165000915527344,3.165000915527344,3.165000915527344,3.165000915527344,90600,0.0,0.0,SNA
1973-03-14 00:00:00-05:00,3.1799323558807373,3.1799323558807373,3.1799323558807373,3.1799323558807373,101400,0.0,0.0,SNA
1973-03-15 00:00:00-05:00,3.194861173629761,3.194861173629761,3.194861173629761,3.1948611736297607,32400,0.0,0.0,SNA
1973-03-16 00:00:00-05:00,3.224719762802124,3.224719762802124,3.224719762802124,3.224719762802124,45600,0.0,0.0,SNA
1973-03-19 00:00:00-05:00,3.194861173629761,3.194861173629761,3.194861173629761,3.1948611736297607,31200,0.0,0.0,SNA
1973-03-20 00:00:00-05:00,3.194861173629761,3.194861173629761,3.194861173629761,3.1948611736297607,33000,0.0,0.0,SNA
1973-03-21 00:00:00-05:00,3.165000915527344,3.165000915527344,3.165000915527344,3.165000915527344,54600,0.0,0.0,SNA
1973-03-22 00:00:00-05:00,3.0754263401031494,3.0754263401031494,3.0754263401031494,3.0754263401031494,57000,0.0,0.0,SNA
